iter	Passed	Remaining
906	2105	215
907	2107	213
908	2110	211
909	2112	208
910	2114	206
911	2116	204
912	2118	201
913	2120	199
914	2123	197
915	2126	194
916	2128	192
917	2130	190
918	2132	187
919	2134	185
920	2136	183
921	2138	180
922	2141	178
923	2143	176
924	2145	173
925	2147	171
926	2149	169
927	2151	166
928	2153	164
929	2155	162
930	2157	159
931	2159	157
932	2161	155
933	2163	152
934	2165	150
935	2168	148
936	2169	145
937	2172	143
938	2174	141
939	2176	138
940	2178	136
941	2180	134
942	2182	131
943	2185	129
944	2187	127
945	2190	125
946	2191	122
947	2194	120
948	2196	118
949	2198	115
950	2200	113
951	2203	111
952	2205	108
953	2207	106
954	2209	104
955	2211	101
956	2213	99
957	2215	97
958	2218	94
959	2220	92
960	2222	90
961	2224	87
962	2226	85
963	2228	83
964	2231	80
965	2233	78
966	2236	76
967	2239	74
968	2241	71
969	2247	69
970	2253	67
971	2258	65
972	2262	62
973	2265	60
974	2268	58
975	2270	55
976	2273	53
977	2276	51
978	2278	48
979	2280	46
980	2282	44
981	2284	41
982	2285	39
983	2287	37
984	2289	34
985	2291	32
986	2292	30
987	2294	27
988	2295	25
989	2297	23
990	2299	20
991	2300	18
992	2301	16
993	2303	13
994	2305	11
995	2307	9
996	2309	6
997	2311	4
998	2313	2
999	2315	0
